@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
38,'2023/10/24 14:24:10:391',1,0.483994,409.130859,0.059939,366.064453,0.05685,387.597656,0.055796,452.197266,0.054645,430.664063,0.050946,473.730469,0.05084,495.263672,0.049383,322.998047,0.04937,301.464844,0.045186,344.53125,0.04308,?
39,'2023/10/24 14:24:10:525',1,0.457009,430.664063,0.165435,452.197266,0.140946,409.130859,0.116466,990.527344,0.10402,366.064453,0.086638,344.53125,0.083428,1012.060547,0.080206,258.398438,0.07308,322.998047,0.069381,279.931641,0.068825,?
40,'2023/10/24 14:24:10:541',1,0.457009,430.664063,0.165435,452.197266,0.140946,409.130859,0.116466,990.527344,0.10402,366.064453,0.086638,344.53125,0.083428,1012.060547,0.080206,258.398438,0.07308,322.998047,0.069381,279.931641,0.068825,?
41,'2023/10/24 14:24:10:559',1,0.457009,430.664063,0.165435,452.197266,0.140946,409.130859,0.116466,990.527344,0.10402,366.064453,0.086638,344.53125,0.083428,1012.060547,0.080206,258.398438,0.07308,322.998047,0.069381,279.931641,0.068825,?
42,'2023/10/24 14:24:10:825',1,0.409451,430.664063,0.155427,452.197266,0.113354,904.394531,0.102902,322.998047,0.086586,258.398438,0.078506,344.53125,0.075858,366.064453,0.068849,409.130859,0.062765,861.328125,0.062168,839.794922,0.058735,?
43,'2023/10/24 14:24:10:907',1,0.412056,861.328125,0.138459,882.861328,0.108463,430.664063,0.104662,409.130859,0.101255,904.394531,0.091505,387.597656,0.086559,473.730469,0.068082,452.197266,0.065471,366.064453,0.064695,258.398438,0.064101,?
44,'2023/10/24 14:25:25:314',2,0.400081,1012.060547,0.140713,1033.59375,0.111283,1378.125,0.098432,495.263672,0.071835,258.398438,0.063408,279.931641,0.059493,1356.591797,0.058585,0,0.058291,0,0.058291,0,0.058291,?
45,'2023/10/24 14:25:25:331',2,0.400081,1012.060547,0.140713,1033.59375,0.111283,1378.125,0.098432,495.263672,0.071835,258.398438,0.063408,279.931641,0.059493,1356.591797,0.058585,0,0.058291,0,0.058291,0,0.058291,?
46,'2023/10/24 14:25:28:731',2,0.491386,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,?
47,'2023/10/24 14:25:28:747',2,0.491386,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,0,0.025874,?
