@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
86,'2023/10/22 16:28:18:315',3,0.464941,1550.390625,0.025675,1528.857422,0.024474,1571.923828,0.023856,1507.324219,0.019724,1593.457031,0.019236,?,?,?
87,'2023/10/22 16:28:18:343',3,0.407948,1528.857422,0.031971,1507.324219,0.026843,1550.390625,0.026544,2325.585938,0.025394,2347.119141,0.024411,?,?,?
88,'2023/10/22 16:28:18:350',3,0.407948,1528.857422,0.031971,1507.324219,0.026843,1550.390625,0.026544,2325.585938,0.025394,2347.119141,0.024411,?,?,?
89,'2023/10/22 16:28:18:365',3,0.330265,1528.857422,0.012694,2347.119141,0.011978,1507.324219,0.011346,2476.318359,0.009352,473.730469,0.008645,?,?,?
90,'2023/10/22 16:28:18:386',3,0.348092,1528.857422,0.02699,2325.585938,0.022442,2476.318359,0.016915,1550.390625,0.016883,2304.052734,0.015482,?,?,?
91,'2023/10/22 16:28:18:401',3,0.334364,1528.857422,0.026734,2325.585938,0.023675,2476.318359,0.017377,1550.390625,0.016185,2304.052734,0.014389,?,?,?
92,'2023/10/22 16:28:18:417',3,0.302366,2325.585938,0.023168,1528.857422,0.02304,2476.318359,0.020225,1550.390625,0.017876,2347.119141,0.01445,?,?,?
93,'2023/10/22 16:28:18:434',3,0.302366,2325.585938,0.023168,1528.857422,0.02304,2476.318359,0.020225,1550.390625,0.017876,2347.119141,0.01445,?,?,?
94,'2023/10/22 16:28:20:071',3,0.410438,1528.857422,0.037827,1550.390625,0.03519,1507.324219,0.034132,9388.476563,0.024012,9410.009766,0.023831,?,?,?
95,'2023/10/22 16:28:20:085',3,0.360126,1528.857422,0.037333,1507.324219,0.030958,1550.390625,0.025662,9410.009766,0.023106,9388.476563,0.021648,?,?,?
